Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.
PS C:\Users\tonyh> Get-ItemProperty HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\* | Select-Object DisplayName, DisplayVersion | Sort-Object DisplayName

DisplayName                                                                   DisplayVersion
-----------                                                                   --------------








                                                                              1.3.195.61













WinAppDeploy                                                                  10.1.22000.832
Windows App Certification Kit SupportedApiList x86                            10.1.22000.832
Windows App Certification Kit x64                                             10.1.22000.832
Windows Desktop Extension SDK                                                 10.1.22000.832
Windows Desktop Extension SDK Contracts                                       10.1.22000.832
Windows IoT Extension SDK                                                     10.1.22000.832
Windows IoT Extension SDK Contracts                                           10.1.22000.832
Windows Mobile Extension SDK                                                  10.1.22000.832
Windows Mobile Extension SDK Contracts                                        10.1.22000.832
Windows SDK                                                                   10.1.22000.832
Windows SDK AddOn                                                             10.1.0.0
Windows SDK ARM Desktop Tools                                                 10.1.22000.832
Windows SDK Desktop Headers arm                                               10.1.22000.832
Windows SDK Desktop Headers arm64                                             10.1.22000.832
Windows SDK Desktop Headers x64                                               10.1.22000.832
Windows SDK Desktop Headers x86                                               10.1.22000.832
Windows SDK Desktop Libs arm                                                  10.1.22000.832
Windows SDK Desktop Libs arm64                                                10.1.22000.832
Windows SDK Desktop Libs x64                                                  10.1.22000.832
Windows SDK Desktop Libs x86                                                  10.1.22000.832
Windows SDK Desktop Tools arm64                                               10.1.22000.832
Windows SDK Desktop Tools x64                                                 10.1.22000.832
Windows SDK Desktop Tools x86                                                 10.1.22000.832
Windows SDK DirectX x86 Remote                                                10.1.22000.832
Windows SDK EULA                                                              10.1.22000.832
Windows SDK Facade Windows WinMD Versioned                                    10.1.22000.832
Windows SDK for Windows Store Apps                                            10.1.22000.832
Windows SDK for Windows Store Apps Contracts                                  10.1.22000.832
Windows SDK for Windows Store Apps DirectX x86 Remote                         10.1.22000.832
Windows SDK for Windows Store Apps Headers                                    10.1.22000.832
Windows SDK for Windows Store Apps Libs                                       10.1.22000.832
Windows SDK for Windows Store Apps Metadata                                   10.1.22000.832
Windows SDK for Windows Store Apps Tools                                      10.1.22000.832
Windows SDK for Windows Store Managed Apps Libs                               10.1.22000.832
Windows SDK Modern Non-Versioned Developer Tools                              10.1.22000.832
Windows SDK Modern Versioned Developer Tools                                  10.1.22000.832
Windows SDK Redistributables                                                  10.1.22000.832
Windows SDK Signing Tools                                                     10.1.22000.832
Windows Software Development Kit - Windows 10.0.22000.832                     10.1.22000.832
Windows Team Extension SDK                                                    10.1.22000.832
Windows Team Extension SDK Contracts                                          10.1.22000.832
WinMerge 2.16.32.0                                                            2.16.32.0
WinRT Intellisense Desktop - en-us                                            10.1.22000.832
WinRT Intellisense Desktop - Other Languages                                  10.1.22000.832
WinRT Intellisense IoT - en-us                                                10.1.22000.832
WinRT Intellisense IoT - Other Languages                                      10.1.22000.832
WinRT Intellisense Mobile - en-us                                             10.1.22000.832
WinRT Intellisense PPI - en-us                                                10.1.22000.832
WinRT Intellisense PPI - Other Languages                                      10.1.22000.832
WinRT Intellisense UAP - en-us                                                10.1.22000.832
WinRT Intellisense UAP - Other Languages                                      10.1.22000.832


Git bash diagnostics
